order_id,order_date,restaurant_name,location,base_pay,tips,peak_pay,adjustments,total_earnings,delivery_distance,delivery_time,customer_rating,completed_deliveries,acceptance_rate,on_time_rate
DD-605837,2023-07-05 12:00:09,Pizza Hut,"San Francisco, CA",2.76,7.18,1.85,-0.68,11.11,8.04,28,4.4,235,90.4,81.2
DD-774459,2023-03-07 13:05:59,Pizza Hut,"Austin, TX",3.99,8.17,0.69,0.17,13.02,2.4,46,3.3,433,50.2,80.2
DD-151027,2024-04-19 01:45:32,Taco Bell,"Chicago, IL",3.72,7.9,2.31,0.88,14.81,7.86,40,4.2,332,52.1,97.6
DD-890871,2024-12-15 07:32:59,Chipotle,"Chicago, IL",4.72,9.71,0.54,1.63,16.6,11.51,48,3.5,400,85.0,94.0
DD-688083,2024-03-03 17:26:58,Pizza Hut,"New York, NY",2.79,9.82,0.29,-0.64,12.26,13.19,35,4.4,346,78.1,87.0
DD-304971,2024-02-13 00:26:05,Pizza Hut,"San Francisco, CA",4.2,8.78,2.4,-0.91,14.47,12.09,10,3.4,387,67.7,95.0
DD-975695,2024-07-18 03:20:03,Pizza Hut,"San Francisco, CA",3.81,8.8,0.55,1.85,15.01,13.87,52,4.8,460,97.6,96.5
DD-403340,2024-04-14 22:51:38,Chipotle,"Austin, TX",4.03,9.1,1.72,-0.44,14.41,8.8,13,4.5,32,79.8,92.4
DD-771811,2024-03-19 14:14:45,Subway,"Austin, TX",3.35,1.01,2.51,1.24,8.11,7.88,39,4.1,447,71.9,83.5
DD-176809,2024-09-17 18:36:46,Chipotle,"Seattle, WA",4.39,3.07,1.15,1.05,9.66,14.73,22,4.5,469,91.2,95.3
DD-142683,2024-08-27 19:40:01,Subway,"New York, NY",4.29,8.13,1.07,0.29,13.78,12.21,26,3.7,37,54.7,86.5
DD-468580,2023-08-24 12:56:31,Pizza Hut,"Austin, TX",2.99,8.44,1.82,1.54,14.79,11.16,36,3.8,335,66.7,84.2
DD-604251,2023-11-22 02:27:38,Subway,"Chicago, IL",4.72,6.72,2.35,1.39,15.18,4.82,34,4.6,396,58.5,91.2
DD-260992,2023-06-15 21:49:23,Burger King,"Chicago, IL",3.16,1.5,0.06,1.15,5.87,8.99,26,4.8,413,87.5,94.7
DD-886480,2023-11-06 00:16:56,Burger King,"New York, NY",3.99,1.03,1.53,1.29,7.84,11.25,44,3.6,69,62.5,99.5
DD-931508,2023-10-08 23:45:44,Taco Bell,"New York, NY",2.51,3.6,0.38,1.6,8.09,10.22,10,3.7,421,97.9,94.3
DD-658155,2023-12-26 23:48:17,Taco Bell,"New York, NY",3.73,7.45,0.28,0.69,12.15,10.34,22,4.5,15,59.9,95.6
DD-184115,2023-11-04 20:48:20,Pizza Hut,"Seattle, WA",3.7,1.08,1.92,0.01,6.71,6.5,15,3.0,19,63.7,91.0
DD-495564,2024-06-17 00:54:25,Chipotle,"Seattle, WA",4.8,6.59,0.16,-0.49,11.06,14.75,49,4.0,2,62.1,94.0
DD-548524,2023-05-24 08:15:35,Subway,"Chicago, IL",3.19,1.26,0.18,0.59,5.22,13.48,56,3.6,458,70.8,81.5
DD-673846,2023-06-15 20:03:05,Subway,"New York, NY",3.42,8.4,0.84,0.53,13.19,13.75,56,3.9,408,91.3,99.9
DD-764629,2023-05-25 07:12:05,Subway,"San Francisco, CA",3.52,7.81,2.84,1.37,15.54,10.17,26,3.1,344,99.3,94.5
DD-836313,2023-02-15 01:50:21,Chipotle,"New York, NY",3.27,1.17,0.09,1.19,5.72,12.44,60,3.6,192,77.0,88.2
DD-139446,2024-09-19 04:49:39,Chipotle,"Chicago, IL",2.97,8.88,2.22,0.42,14.49,7.14,33,3.4,19,82.8,94.6
DD-194944,2023-01-16 07:19:02,Burger King,"Austin, TX",3.26,7.83,1.92,0.22,13.23,14.23,49,3.3,447,82.8,89.3
DD-451178,2024-03-07 22:38:08,Pizza Hut,"San Francisco, CA",3.19,1.42,1.7,-0.34,5.97,2.93,35,4.9,498,66.6,89.0
DD-756379,2023-02-05 11:53:10,Pizza Hut,"Austin, TX",4.03,4.66,2.36,-0.24,10.81,11.55,21,3.4,123,93.0,90.2
